elapsed_time,stage,frames_per_second,total_timesteps,iteration,intervention_type,mean_episode_length,mean_episode_reward,approx_kl_divergence,entropy_loss,learning_rate,clip_fraction,explained_variance,clip_range,policy_gradient_loss,policy_loss,policy_std,num_updates,value_loss,stage,intervention_type
9,6,454,5316608,1,goal,472.47,0.6351431,,,,,,,,,,,,6,goal
30,6,270,5320704,2,goal,463.34,0.52616143,0.06808059,-32.335642755031586,0.00025,0.5922831217447917,0.715494841337204,0.2,-0.1125246773034935,-0.7669541239738464,8.932595252990723,2145.0,0.035131305984881,6,goal
51,6,239,5324800,3,goal,468.34,0.4871732,0.06425578,-32.537331545352934,0.00025,0.5643900553385417,0.6078474223613739,0.2,-0.0997256925654558,-0.7684286236763,9.155020713806152,2160.0,0.0250090761469133,6,goal
72,6,225,5328896,4,goal,468.34,0.65511835,0.07632306,-32.760892458756764,0.00025,0.6015940348307292,0.7284189462661743,0.2,-0.1000197192799532,-0.7643648386001587,9.405976295471191,2175.0,0.0252944002728327,6,goal
93,6,218,5332992,5,goal,472.08,0.66328263,0.07317001,-32.94601875742276,0.00025,0.5849863688151041,0.6769236922264099,0.2,-0.1005897771530726,-0.7679767608642578,9.597712516784668,2190.0,0.0224893322709249,6,goal
114,6,213,5337088,6,goal,464.85,0.67699975,0.072675616,-33.16539107561111,0.00025,0.5799794514973958,0.3146335482597351,0.2,-0.0827921732930311,-0.752769947052002,9.849126815795898,2205.0,0.0394763915964479,6,goal
136,6,210,5341184,7,goal,456.95,0.6785585,0.07577133,-33.37616706291835,0.00025,0.5839762369791667,0.3770517706871032,0.2,-0.0920682291723399,-0.7646969556808472,10.0828218460083,2220.0,0.0335432902715789,6,goal
157,6,207,5345280,8,goal,456.55,0.5553193,0.07120765,-33.52585633595785,0.00025,0.596026611328125,0.7366756796836853,0.2,-0.1130979073592849,-0.8017457127571106,10.232312202453612,2235.0,0.0248898117458641,6,goal
178,6,206,5349376,9,goal,458.44,0.48368198,0.06073003,-33.63708822727203,0.00025,0.505706787109375,0.5787211656570435,0.2,-0.082011939248332,-0.7503618597984314,10.335638999938965,2250.0,0.0271759518625913,6,goal
200,6,204,5353472,10,goal,453.81,0.5681073,0.07033597,-33.91186370650927,0.00025,0.5522786458333333,0.3619379997253418,0.2,-0.072669998731726,-0.7732207179069519,10.7628173828125,2265.0,0.0299464313948798,6,goal
221,6,203,5357568,11,goal,449.05,0.4917203,0.07161199,-34.23260204990705,0.00025,0.5942179361979166,0.6105462312698364,0.2,-0.097532317902854,-0.7960818409919739,11.13303279876709,2280.0,0.0205534419003621,6,goal
1650,6,29,5361664,12,goal,453.68,0.3853346,0.086892515,-34.4959936439991,0.00025,0.5984670003255208,0.7151697874069214,0.2,-0.1019984121225813,-0.7993826866149902,11.493391036987305,2295.0,0.0297621350226108,6,goal
1672,6,31,5365760,13,goal,458.33,0.34964737,0.05850994,-34.7216898838679,0.00025,0.527545166015625,0.5910466015338898,0.2,-0.0972773014601746,-0.7987014055252075,11.701276779174805,2310.0,0.0488714925168703,6,goal
9,3,453,5156864,1,visual,317.45,1.2284613,,,,,,,,,,,,3,visual
29,3,273,5160960,2,visual,323.52,1.2485107,0.089726135,-24.950293692946435,0.00025,0.625897216796875,0.60342937707901,0.2,-0.0996673873092125,-0.593508243560791,3.896140575408936,1560.0,0.0214201022759273,3,visual
51,3,240,5165056,3,visual,333.19,1.2035601,0.07176524,-25.136352190375327,0.00025,0.6159983317057292,0.8200380653142929,0.2,-0.1098777756051276,-0.6195054650306702,3.983280658721924,1575.0,0.0153304612414406,3,visual
71,3,228,5169152,4,visual,354.31,1.2151458,0.17760262,-25.301373401284216,0.00025,0.6149566650390625,0.6249578595161438,0.2,-0.1046373297014118,-0.6080474853515625,4.0442328453063965,1590.0,0.0391711973769512,3,visual
92,3,220,5173248,5,visual,356.08,1.2163223,0.07685268,-25.397539922595023,0.00025,0.6265513102213541,0.7669060081243515,0.2,-0.1126874337899304,-0.6248312592506409,4.08757209777832,1605.0,0.0300329135037221,3,visual
113,3,216,5177344,6,visual,345.86,1.2734202,0.08803242,-25.52605760296186,0.00025,0.6546793619791667,0.7905432879924774,0.2,-0.1168780909987011,-0.637627124786377,4.158452033996582,1620.0,0.0225900548723681,3,visual
134,3,213,5181440,7,visual,339.89,1.4516159,0.08548541,-25.724772652983667,0.00025,0.6062764485677083,0.7382476627826691,0.2,-0.1011939688253429,-0.6124955415725708,4.265349388122559,1635.0,0.0394863886375484,3,visual
155,3,210,5185536,8,visual,343.64,1.3157682,0.06082327,-25.90862921079,0.00025,0.5987538655598958,0.7284280359745026,0.2,-0.1125028066737286,-0.6358628869056702,4.32954740524292,1650.0,0.0225204417210382,3,visual
175,3,210,5189632,9,visual,352.49,1.1383493,0.26960126,-26.030705086390174,0.00025,0.612054443359375,0.6876161992549896,0.2,-0.1049039488030151,-0.6336340308189392,4.387721538543701,1665.0,0.0339309071753329,3,visual
196,3,208,5193728,10,visual,349.25,1.0910565,0.52536964,-26.188569126526517,0.00025,0.6687388102213542,0.6982751786708832,0.2,-0.1072642710025926,-0.6346067786216736,4.482641696929932,1680.0,0.038682585840191,3,visual
216,3,207,5197824,11,visual,358.75,1.1523403,0.07263616,-26.37256240049998,0.00025,0.5928232828776042,0.648773580789566,0.2,-0.1008453029775409,-0.6361476182937622,4.574388027191162,1695.0,0.0320288948622571,3,visual
237,3,206,5201920,12,visual,374.34,1.0091168,0.07646435,-26.530713776747387,0.00025,0.5953389485677083,0.792673721909523,0.2,-0.1015606339055617,-0.6433783173561096,4.6580891609191895,1710.0,0.0297111769517262,3,visual
258,3,206,5206016,13,visual,382.04,1.2081622,0.09546302,-26.71003434161345,0.00025,0.6495656331380208,0.8024522364139557,0.2,-0.1138257284330999,-0.6561070680618286,4.756502628326416,1725.0,0.0238671698316466,3,visual
9,7,452,5369856,1,angle,450.27,0.37849158,,,,,,,,,,,,7,angle
30,7,268,5373952,2,angle,438.18,0.24810418,0.060520004,-35.02627867460251,0.00025,0.5393473307291666,0.5167400240898132,0.2,-0.0864641332196091,-0.7843555808067322,12.130953788757324,2340.0,0.0318859726787195,7,angle
51,7,237,5378048,3,angle,428.92,0.114717215,0.07005217,-35.23537910977999,0.00025,0.5842061360677083,0.6742407083511353,0.2,-0.0999251649457922,-0.805526077747345,12.51474380493164,2355.0,0.0516726336267311,7,angle
73,7,224,5382144,4,angle,429.56,-0.0132798,0.07279195,-35.47334782282511,0.00025,0.5991353352864583,0.384442925453186,0.2,-0.1068242369952107,-0.8238793015480042,12.778491973876951,2370.0,0.0590491455455776,7,angle
94,7,216,5386240,5,angle,429.31,-0.26233345,0.07794024,-35.633414838711424,0.00025,0.6222320556640625,0.5746473371982574,0.2,-0.1133313086936444,-0.8303952217102051,13.02983283996582,2385.0,0.0425997588473061,7,angle
116,7,211,5390336,6,angle,396.52,-0.46980163,0.06906374,-35.83366643985112,0.00025,0.5843699137369792,0.5840815305709839,0.2,-0.1046030080649264,-0.8271680474281311,13.28166389465332,2400.0,0.0365717767524377,7,angle
137,7,208,5394432,7,angle,396.66,-0.81014943,0.06262973,-35.99416878422101,0.00025,0.583953857421875,0.5833386480808258,0.2,-0.1065637741322765,-0.843765377998352,13.554604530334473,2415.0,0.04465981022513,7,angle
159,7,205,5398528,8,angle,370.68,-0.8185583,0.06368968,-36.132521482308704,0.00025,0.573980712890625,0.6721121966838837,0.2,-0.1077302561687247,-0.8400514721870422,13.73939037322998,2430.0,0.0335706686989093,7,angle
180,7,204,5402624,9,angle,375.49,-0.8131119,0.071114875,-36.29653995434443,0.00025,0.6095723470052083,0.5931270718574524,0.2,-0.1101254906553852,-0.8427280783653259,14.048785209655762,2445.0,0.0367119674992864,7,angle
201,7,202,5406720,10,angle,372.5,-1.0010794,0.06735776,-36.45738765199979,0.00025,0.5859934488932291,0.7330779135227203,0.2,-0.1100001152755188,-0.8481593132019043,14.28693962097168,2460.0,0.0283004303428848,7,angle
223,7,201,5410816,11,angle,361.83,-1.0663695,0.062061135,-36.572873159249625,0.00025,0.5620992024739583,0.7151699662208557,0.2,-0.1071654049058755,-0.8513751029968262,14.462539672851562,2475.0,0.0295307709277646,7,angle
245,7,200,5414912,12,angle,366.49,-1.0260533,0.0700666,-36.71669607957204,0.00025,0.59571533203125,0.6596753001213074,0.2,-0.1076349828377715,-0.8556534051895142,14.764881134033203,2490.0,0.0301865373219091,7,angle
266,7,199,5419008,13,angle,367.28,-1.101225,0.07505879,-36.96408944328626,0.00025,0.6165751139322917,0.7287592887878418,0.2,-0.1101073864059192,-0.86095130443573,15.211174964904783,2505.0,0.0237148265519257,7,angle
9,4,453,5210112,1,mass,382.96,1.237988,,,,,,,,,,,,4,mass
29,4,274,5214208,2,mass,390.78,1.329913,0.08514014,-27.087652598818146,0.00025,0.6293904622395833,0.8459380567073822,0.2,-0.1070443794895254,-0.6553680896759033,4.972108840942383,1755.0,0.0215521581762004,4,mass
50,4,241,5218304,3,mass,389.99,1.4182779,0.08004178,-27.289449595411615,0.00025,0.5946085611979167,0.7997292280197144,0.2,-0.0978588131266102,-0.6536995768547058,5.078149795532227,1770.0,0.0309857133028951,4,mass
71,4,228,5222400,4,mass,403.37,1.4539832,0.059231143,-27.49311130841573,0.00025,0.58009033203125,0.5637713372707367,0.2,-0.0975747563192271,-0.6613448858261108,5.183391571044922,1785.0,0.0208292436102055,4,mass
92,4,220,5226496,5,mass,403.35,1.5279586,0.06567257,-27.696774450937905,0.00025,0.591644287109375,0.7304938733577728,0.2,-0.0933673060086827,-0.6533308029174805,5.29808235168457,1800.0,0.0264844111816879,4,mass
113,4,215,5230592,6,mass,389.36,1.6650788,0.06861426,-27.887552711367608,0.00025,0.6268575032552083,0.7381962239742279,0.2,-0.1032273933436954,-0.6661168336868286,5.423821449279785,1815.0,0.0304461507005423,4,mass
134,4,212,5234688,7,mass,401.61,1.774618,0.056111537,-28.046753232677776,0.00025,0.5258860270182292,0.6722035109996796,0.2,-0.0898338723675503,-0.6537075638771057,5.499228477478027,1830.0,0.027056066286362,4,mass
155,4,210,5238784,8,mass,404.42,1.7888201,0.05867955,-28.191222191850343,0.00025,0.5509521484375,0.6298104524612427,0.2,-0.0953537383839526,-0.6732474565505981,5.608758926391602,1845.0,0.0204825285894912,4,mass
176,4,208,5242880,9,mass,396.05,1.9569858,0.08038656,-28.40968206425508,0.00025,0.619677734375,0.6866589486598969,0.2,-0.0940180803023395,-0.6696462631225586,5.75014066696167,1860.0,0.0315940969822501,4,mass
197,4,207,5246976,10,mass,391.89,1.8746544,0.060776666,-28.62996387481689,0.00025,0.580548095703125,0.5933312177658081,0.2,-0.0962829636067908,-0.6622481346130371,5.88498592376709,1875.0,0.0411794766560584,4,mass
218,4,206,5251072,11,mass,385.61,1.7686872,0.07632448,-28.890765713651977,0.00025,0.6497914632161458,0.7704833000898361,0.2,-0.1079853730363538,-0.6933912038803101,6.075831413269043,1890.0,0.0259643287281505,4,mass
239,4,205,5255168,12,mass,385.68,1.8010178,0.057130627,-29.05071895619233,0.00025,0.5976603190104167,0.7793407440185547,0.2,-0.108757117689917,-0.6924744248390198,6.164241790771484,1905.0,0.0277443980812677,4,mass
260,4,204,5259264,13,mass,401.26,1.5698735,0.072767675,-29.25513908863068,0.00025,0.5938120524088542,0.5514776408672333,0.2,-0.0971798375915871,-0.6821575164794922,6.325350284576416,1920.0,0.0380443395571395,4,mass
9,2,446,5103616,1,friction,418.92,0.41970855,,,,,,,,,,,,2,friction
29,2,274,5107712,2,friction,408.81,0.4944391,0.06271002,-22.855096833904582,0.00025,0.5659434000651041,0.7856378853321075,0.2,-0.1044155444845576,-0.5731646418571472,3.0877723693847656,1365.0,0.0209844847573549,2,friction
50,2,243,5111808,3,friction,416.28,0.72028863,0.07099304,-23.01130004425844,0.00025,0.5910756429036458,0.7200068235397339,0.2,-0.1042227720541025,-0.5753668546676636,3.126482963562012,1380.0,0.0243331269249514,2,friction
71,2,228,5115904,4,friction,382.47,0.7963303,0.06209653,-23.164184821645417,0.00025,0.6065500895182292,0.564905047416687,0.2,-0.111931051408222,-0.5861380696296692,3.1978068351745605,1395.0,0.0165760330038513,2,friction
92,2,221,5120000,5,friction,368.05,0.8426345,0.082455516,-23.32360407511393,0.00025,0.6031941731770833,0.6011210083961487,0.2,-0.1058861990687243,-0.5717203617095947,3.246987581253052,1410.0,0.0435619678503523,2,friction
113,2,217,5124096,6,friction,359.01,1.1536866,0.07887247,-23.492835208773613,0.00025,0.5859832763671875,0.5751879215240479,0.2,-0.0982328975350052,-0.5741892457008362,3.311194658279419,1425.0,0.0235624037974048,2,friction
133,2,214,5128192,7,friction,331.05,1.2492553,0.06841344,-23.672021983067197,0.00025,0.5852650960286458,0.6790990233421326,0.2,-0.1023266337149834,-0.5837188959121704,3.3917973041534424,1440.0,0.0226075148287539,2,friction
154,2,211,5132288,8,friction,304.84,1.3008661,0.07266644,-23.880973268548647,0.00025,0.595538330078125,0.6079263985157013,0.2,-0.1079208913780651,-0.6004524230957031,3.45450210571289,1455.0,0.0199459839849926,2,friction
175,2,209,5136384,9,friction,305.39,1.277597,0.063208655,-24.037088879942893,0.00025,0.5931498209635416,0.7055318653583527,0.2,-0.1074794839182383,-0.5944292545318604,3.520468235015869,1470.0,0.0311526151325476,2,friction
196,2,208,5140480,10,friction,284.37,1.1286781,0.08430341,-24.13598641653856,0.00025,0.5869476318359375,0.7411477863788605,0.2,-0.1046459748285997,-0.5911636352539062,3.5364174842834477,1485.0,0.0378746648474286,2,friction
216,2,207,5144576,11,friction,302.64,1.2187141,0.10438423,-24.23984179397424,0.00025,0.6138783772786458,0.5637667179107666,0.2,-0.1107582852127961,-0.5975164175033569,3.599766254425049,1500.0,0.0281850480493934,2,friction
237,2,207,5148672,12,friction,317.11,1.1059538,0.10877081,-24.396282571554185,0.00025,0.6360626220703125,0.786560982465744,0.2,-0.1150226609529151,-0.6127991676330566,3.6680328845977774,1515.0,0.0239254572254139,2,friction
258,2,206,5152768,13,friction,315.3,1.2215338,0.0923505,-24.56245091855526,0.00025,0.605035400390625,0.6279862523078918,0.2,-0.1027428270346717,-0.5981628894805908,3.7322921752929688,1530.0,0.0235277116657622,2,friction
9,1,453,5050368,1,position,267.86,2.0396163,,,,,,,,,,,,1,position
29,1,277,5054464,2,position,287.86,1.9497699,0.044647623,-21.595002182324727,0.00025,0.4925333658854167,0.4790598154067993,0.2,-0.1076308648346942,-0.5533646941184998,2.6667816638946533,1170.0,0.0252361334583838,1,position
49,1,246,5058560,3,position,307.98,1.6769154,0.037631687,-21.685459301869077,0.00025,0.4269083658854166,0.6277674734592438,0.2,-0.0901650336013214,-0.5340584516525269,2.699273109436035,1185.0,0.0208424791824654,1,position
70,1,233,5062656,4,position,327.62,1.5872107,0.065796316,-21.74557463129361,0.00025,0.564544677734375,0.7365400791168213,0.2,-0.1045763198807738,-0.5527094006538391,2.7099831104278564,1200.0,0.0299439471942605,1,position
90,1,226,5066752,5,position,339.43,1.3940446,0.043427818,-21.784887338678043,0.00025,0.4342987060546875,0.7808329463005066,0.2,-0.091747545119991,-0.5465523600578308,2.7331104278564453,1215.0,0.0313941796829264,1,position
110,1,221,5070848,6,position,359.43,1.2106693,0.046077747,-21.872600881258645,0.00025,0.4703908284505208,0.781993180513382,0.2,-0.0974614240170922,-0.5412554144859314,2.749619483947754,1230.0,0.0461674411810236,1,position
131,1,218,5074944,7,position,378.56,1.0472485,0.052667886,-21.93879169722398,0.00025,0.5235646565755209,0.8077969998121262,0.2,-0.1024329974510086,-0.5463274121284485,2.775161027908325,1245.0,0.0315051655251105,1,position
151,1,216,5079040,8,position,394.07,0.85194606,0.061902195,-22.040609213709832,0.00025,0.5485677083333333,0.7256054580211639,0.2,-0.1063217989816621,-0.5604968667030334,2.807920217514038,1260.0,0.0198505576423485,1,position
172,1,214,5083136,9,position,411.81,0.7065226,0.3833355,-22.12506211102009,0.00025,0.6064229329427083,0.8259567320346832,0.2,-0.1104074637228526,-0.5580123066902161,2.834153652191162,1275.0,0.018835182217784,1,position
192,1,212,5087232,10,position,427.81,0.3684297,0.04994037,-22.191797711451848,0.00025,0.5262003580729167,0.6995059251785278,0.2,-0.1095734872423539,-0.5647818446159363,2.852768421173096,1290.0,0.0198782485507157,1,position
212,1,211,5091328,11,position,447.81,0.24491644,0.06606398,-22.29475153783957,0.00025,0.5797068277994791,0.6103674173355103,0.2,-0.104145809164523,-0.557295024394989,2.895296335220337,1305.0,0.027958210191961,1,position
233,1,210,5095424,12,position,441.65,0.30077672,0.06117303,-22.42890647451083,0.00025,0.5846832275390625,0.8220976442098618,0.2,-0.1146075749755255,-0.5776724815368652,2.939293622970581,1320.0,0.0184522962568735,1,position
253,1,209,5099520,13,position,436.35,0.3670481,0.078939214,-22.590564468503,0.00025,0.6239329020182292,0.7339304983615875,0.2,-0.1147430224562413,-0.5827118754386902,2.991710662841797,1335.0,0.0146355245095037,1,position
9,5,446,5263360,1,random,406.06,1.4927704,,,,,,,,,,,,5,random
30,5,270,5267456,2,random,412.77,1.2493491,0.09190939,-29.60639620621999,0.00025,0.6700856526692708,0.6826169490814209,0.2,-0.1128943170527539,-0.7130144834518433,6.591803073883057,1950.0,0.0299291263334453,5,random
51,5,239,5271552,3,random,419.76,1.2327045,0.08249073,-29.79085902571678,0.00025,0.6443471272786458,0.7622854858636856,0.2,-0.1123563879436308,-0.7156314849853516,6.7351155281066895,1965.0,0.0487843606097158,5,random
72,5,225,5275648,4,random,427.78,1.1511533,0.07546612,-30.053113238016763,0.00025,0.582080078125,0.5282934010028839,0.2,-0.0816974344217063,-0.6780685186386108,6.939263343811035,1980.0,0.0767080857699814,5,random
93,5,218,5279744,5,random,432.19,1.0886228,0.05846726,-30.28471306959788,0.00025,0.5825998942057292,0.7245998382568359,0.2,-0.1010772434989727,-0.7016592621803284,7.100732803344727,1995.0,0.0474326879028619,5,random
115,5,213,5283840,6,random,434.04,0.76961035,0.22048093,-30.49292578995228,0.00025,0.6991312662760417,0.5980308055877686,0.2,-0.115848915138243,-0.7314998507499695,7.298395156860352,2010.0,0.0521919963667945,5,random
136,5,210,5287936,7,random,443.77,0.5011631,0.07130166,-30.67676454881827,0.00025,0.5538584391276041,0.4284809231758117,0.2,-0.0890955354106457,-0.6914734244346619,7.42335844039917,2025.0,0.0651377636604593,5,random
157,5,208,5292032,8,random,451.29,0.5038849,0.07044526,-30.83483766913414,0.00025,0.6154937744140625,0.5337985455989838,0.2,-0.1027776189209059,-0.7299351692199707,7.553323745727539,2040.0,0.0381645002033716,5,random
177,5,207,5296128,9,random,457.42,0.45586085,0.07857266,-31.02265796760718,0.00025,0.6264211018880208,0.7115839123725891,0.2,-0.1058869179828131,-0.7314454913139343,7.722476482391357,2055.0,0.0250757250997897,5,random
199,5,205,5300224,10,random,468.38,0.47018388,0.08627847,-31.18012953499953,0.00025,0.6635548909505208,0.7106435000896454,0.2,-0.1154763611317321,-0.743258535861969,7.863353252410889,2070.0,0.0358812934913051,5,random
220,5,204,5304320,11,random,473.87,0.4110722,0.06764163,-31.36936968664328,0.00025,0.5820546468098958,0.503436952829361,0.2,-0.0927175452316684,-0.7008076906204224,8.057621955871582,2085.0,0.1167007356591057,5,random
241,5,203,5308416,12,random,477.1,0.5088022,0.07149217,-31.68033572634061,0.00025,0.6358784993489583,0.5368624031543732,0.2,-0.1082128073695154,-0.7520750761032104,8.354341506958008,2100.0,0.0319807147966154,5,random
262,5,203,5312512,13,random,477.1,0.5322491,0.07452878,-31.90787353217602,0.00025,0.6108062744140625,0.5020938217639923,0.2,-0.0886991112931961,-0.7270094156265259,8.551594734191895,2115.0,0.0672987925373793,5,random
